UTDate,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
2024/4/5,5.5,0.072,0.021,n,ATCA,Goodwin et al.2025
2024/4/5,9,0.075,0,y,ATCA,Goodwin et al.2025
2024/10/16,5.5,0.045,0,y,ATCA,Goodwin et al.2025
2024/10/16,9,0.059,0,y,ATCA,Goodwin et al.2025
2021/2/24,1.37,0.683,0,y,ASKAP RACS,Goodwin et al.2025
2021/7/29,1.37,0.854,0,y,ASKAP RACS,Goodwin et al.2025
2022/5/30,1.37,0.655,0,y,ASKAP RACS,Goodwin et al.2025
2024/1/26,0.94,0.563,0,y,ASKAP RACS,Goodwin et al.2025
2018/2/16,3,0.4,0,y,VLASS,Goodwin et al.2025
2020/9/18,3,0.495,0,y,VLASS,Goodwin et al.2025
2023/6/12,3,0.463,0,y,VLASS,Goodwin et al.2025
