MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
57630.89,6.1,0.03,,y,VLA:B,Horesh et al.2021
57630.89,22,0.042,,y,VLA:B,Horesh et al.2021
57631.68,15.5,0.096,,y,AMI-LA,Horesh et al.2021
57635.69,15.5,0.126,,y,AMI-LA,Horesh et al.2021
57648.6,15.5,0.108,,y,AMI-LA,Horesh et al.2021
57683.5,15.5,0.066,,y,AMI-LA,Horesh et al.2021
57691.7,6.1,0.027,,y,VLA:A,Horesh et al.2021
57691.7,22,0.036,,y,VLA:A,Horesh et al.2021
57782,4.8,0.252,0.034,n,VLA:A = > D,Horesh et al.2021
57782,7.4,0.184,0.029,n,VLA:A = > D,Horesh et al.2021
57782,22,0.053,0.013,n,VLA:A = > D,Horesh et al.2021
58010,15.5,0.12,0.024,n,AMI-LA,Horesh et al.2021
58046,15.5,0.151,0.045,n,AMI-LA,Horesh et al.2021
58994,6,0.045,0.001,n,VLA,Cendes et al.2024
59381,3,0.514,,y,VLA,Cendes et al.2024
59381,5,0.028,0.008,n,VLA,Cendes et al.2024
59381,7,0.031,0.007,n,VLA,Cendes et al.2024
59381,9,0.024,0.006,n,VLA,Cendes et al.2024
59381,11,0.023,0.008,n,VLA,Cendes et al.2024
